record_id,title,abstract
72571,Review of applying material flow analysis-based studies for a sustainable Norwegian Salmon aquaculture industry,
82447,"Results of the analysis on fisheries products (Ezo abalone,Northern sea urchin,Land-locked salmon(farmed) and Brackish-water clam)(Ibaraki)(15June,2011)",
82460,Enrichment of Artemia nauplii with essential fatty acids and vitamin C: effect on rainbow trout (Oncorhynchus mykiss) larvae performance,
72656,"Growth, feed efficiency and slaughter quality of salmon, Salmo salar L., given feeds with different ratios of carbohydrate and protein",
72661,Genetically modified attenuated salmonid alphavirus: A potential strategy for immunization of Atlantic salmon,
72733,In silico Characterization of bHLH Transcription Factor Genes in the Genome of Rainbow Trout (Oncorhynchus mykiss),
72781,The New Order in Global Salmon Markets and Aquaculture Development,
82509,Bioeconomic interaction between aquaculture and the common property fishery with application to northwest salmon resources,
72800,Corrigendum to: “Effects of maternal stress coping style on offspring characteristics in rainbow trout (Oncorhynchus mykiss)” Hormones and Behavior 60 (2011) 699–705,
82513,Identification and control of parasites in a new species for aquaculture: a case study with striped trumpeter,
72841,"Erratum to “Amino acid-chelate: a better source of Zn, Mn and Cu for rainbow trout, Oncorhynchus mykiss” Aquaculture 240 (2004) 345–358",
82524,Salmon farming in NewFoundland - AquaCircle,
82525,Salmon farming in Chile - AquaCircle,
82526,Norway Salmon Farming Feeding the World - AquaCircle,
82352,The 2016 red tide crisis in southern Chile: Possible influence of the mass oceanic dumping of dead salmons,
72897,"The Economics of Salmon Aquaculture, Second Edition - Lessons for Other Farmed Species",
72962,Modelling sources of variation and risk factors for spinal deformity in farmed Atlantic salmon using hierarchical- and cross-classified multilevel models,
73048,"Occurrence of an adult Atlantic salmon in the River Rhône, France",
82598,Latest trends in Salmon Aquaculture: A review,
82614,Diseño del manual de funciones del área de producción de la empresa Truchera el Oasis S.A.S,
73164,Social aspects of the sustainability of integrated multi-trophic aquaculture,
82625,Atlantic salmon aquaculture,
82626,FRDC Subprogram leaders report - Atlantic salmon aquaculture,
82627,Atlantic salmon aquaculture subprogram,
82628,Salmon Snippets. Atlantic Salmon Aquaculture Subprogram Newsletter,
82629,Second Scientific Conference of the Atlantic Salmon Aquaculture Subprogram - Handbook,
82630,The third scientific conference of the atlantic salmon aquaculture subprogram,
82656,Is Farmed Salmon Really Salmon,
73425,The influence of nutritional and environmental factors on osmoregulation and cataracts in Atlantic salmon (Salmo salar L),
73426,Cataracts in rapidly growing farm raised Atlantic salmon (Salmo Salar),
73504,"The rainbow trout genome, an important landmark for aquaculture and genome evolution",
73579,Jellyfish blooms perception in Mediterranean finfish aquaculture,
73765,The FTZ-F1 gene encodes two functionally distinct nuclear receptor isoforms in the ectoparasitic copepod salmon louse (Lepeophtheirus salmonis),
73830,Diseases of aquaculture,
82419,"“Throwing Money into the Sea”: Capitalism as a World-ecological System. Evidence from the Chilean Salmon Industry Crisis, 2008",
82778,Atlantic Salmon Aquaculture Subprogram: Facilitation and administration,
82838,Exploring U.S. Aquaculture: Atlantic Salmon in Maine,
82856,Preliminary results of two year survey of Atlantic salmon gills from four Tasmanian farms,
82914,Seasonal dynamics in cellular and humoral immune parameters in farmed rainbow trout (Oncorhynchus mykiss),
74446,Regional approaches to aquaculture and a case study of the North Atlantic Salmon Conservation Organization,
74467,"Localization and transcription patterns of LsVasa, a molecular marker of germ cells in Lepeophtheirus salmonis (Krøyer)",
82963,Return to the seas,
74820,"Gene expression in five salmon louse (Lepeophtheirus salmonis, Krøyer 1837) tissues",
74831,RNA sequencing reveals distinct gene expression patterns during the development of parasitic larval stages of the salmon louse (Lepeophtheirus salmonis),
74838,Morphology of Chrysochromulina Leadbeateri (Prymnesiophyceae) from Northern Norway,
74928,Aquaculture and disease control in Italy,
74969,"Globally Sown, Locally Grown: An Introduction",
75069,Prohibitin-2 gene reveals sex-related differences in the salmon louse Caligus rogercresseyi,
75097,The introduction of rainbow trout (Oncorhynchus mykiss) in the context of socio-spatial Serra Catarinense,
75114,The role of molecular genetic markers in the management of cultured fishes,
75218,"Purification, characterization and in vivo studies of salmon heparin",
75302,Shrimp and Salmon Farming,
75303,Farming Salmon: An Example of Aquaculture for the Mass Market,
75520,"Two new species of Bulbamphiascus Lang (Copepoda: Harpacticoida: Diosaccidae) from Scotland and the Isles of Scilly, with additional observations on B. denticulatus (Thompson)",
83132,Presence of emerging contaminants in the feed used for salmon farming,
75896,"Genotyping of Salmon Gill Poxvirus Reveals One Main Predominant Lineage in Europe, Featuring Fjord- and Fish Farm-Specific Sub-Lineages",
83205,Farming of Atlantic salmon--an experience from Norway,
83225,Aquaculture and sale of fish (Kaikyo-Salmon) on the special products,
83233,The potential and constraints of the norwegian salmon aquaculture production,
76068,Characterization of three salmon louse (Lepeophtheirus salmonis) genes with fibronectin II domains expressed by tegumental type 1 glands,
76070,"Chitin Synthases Are Critical for Reproduction, Molting, and Digestion in the Salmon Louse (Lepeophtheirus salmonis)",
76071,Chitin synthesis and degradation in Lepeophtheirus salmonis: Molecular characterization and gene expression profile during synthesis of a new exoskeleton,
76074,Practical Feeding—Salmon and Trout,
76080,"Rainbow Trout, Oncorhynchus mykiss",
83246,"Aquaculture\""There you go ... your salmon farming kit -- any questions?\""\""How deep do you plant them?\""",
76127,Introduction,
82402,Environmental Collapse and Institutional Restructuring: The Sanitary Crisis in the Chilean Salmon Industry,
83362,Development and Dispersal of Salmon Lice (Lepeophtheirus Salmonis KrØyer 1837) in Commercial Salmon Farming Localities,
76740,"Salmon farming handbook: Stephen Drummond Sedgwick. Fishing News Books Ltd., Farnham, Great Britain, 1988. 208 pp., 49 illus., price £15.50 + £1.50 surface mail or £4.00 airmail, ISBN 0-85238-158-1",
76741,Handbook of Salmon Farming,
76747,The Faroe Islands,
76782,Astaxanthin from Microbial Sources,
76874,An update of the salmon louse (Lepeophtheirus salmonis) reference genome assembly,
76937,Extrapolating understanding of food risk perceptions to emerging food safety cases,
83425,Submissions received on the Salmon Farming in Scotland Inquiry,
77086,Infectious salmon anemia,
83439,Hydrozoan jellyfish and their interactions with Scottish salmon aquaculture,
77140,Veterinary health plan for farmed salmon,
77167,"Gonad specific genes in Atlantic salmon (Salmon salar L.): characterization of tdrd7-2, dazl-2, piwil1 and tdrd1 genes",
77296,Infectious Pancreatic Necrosis Virus in Norwegian Fish Farms,
83472,Hard to swallow : a brief history of food,
77404,Salmon fibrin glue in rats: antibody studies,
77481,Something smells fishy,
77559,Salmon Farming,
77623,Improving Farmed Fish Quality and Safety - Improving farmed fish quality and safety,
83511,"Chapter 3: Standards, Science and Scale: The Case of Tasmanian Atlantic Salmon",
83518,Farmed salmon is now a staple in diets - but what they eat matters too,
84491,Lipostatic regulation experimental provoked in farmed atlantic salmon (salmo salar L.),
77864,"Consumer Confidence, Food Safety, and Salmon Farming",
83564,"Sustainable aquaculture is possible, with the right science",
78104,A continuous genome assembly of the corkwing wrasse (Symphodus melops),
78140,Retention of viable microsporidial (Loma salmonae) spores within the blue mussel (Mytilus edulis): Use of an experimental laboratory model probing pathogen transfer within a multi-trophic aquaculture setting,
83608,Recoveries of farmed Atlantic salmon in the Northeastern Pacific,
78201,Salmon farming,
83615,Tides of change in British Columbia's salmon farming industry,
78251,Variability in reproductive mode and larval development within the Capitella capitata species complex,
78308,"Introduction to Part Nine: Making Nature Productive: Stories of Farmed and Wild Salmon, Cows' Choice, Good Bugs, Earthworms and Gardening",
83636,Possibility of construction of a Salmonidae fish farm in the hydrigraphic area of eastern Bosnia,
83643,Sustainable omega 3 sources for Salmon Aquaculture,
83675,Rainbow trout and salmon farming in Norway,
78575,"Pseudomonas arcuscaelestis sp. nov., isolated from rainbow trout and water",
83702,The political ecology of farmed and transgenic salmon,
72448,Salmon aquaculture,
72450,Erratum,
72468,In This Issue,
72476,Executive summary,
72500,Italian manufacturer supplies salmon fish farms in Scandinavia,
72503,Salmon Aquaculture in Crisis,
72513,Erratum: Exposing Atlantic Salmon post-smolts to fluctuating sublethal nitrite concentrations in a commercial recirculating aquaculture system (RAS) may have negative consequences,
83719,Influence of Ectoparasites on the Growth of Salmo Gairdneri (Richardson),
