record_id,title,broad_topic,subtopic,candidate_count,candidate_path_ids,candidate_paths,status,reason
72571,Review of applying material flow analysis-based studies for a sustainable Norwegian Salmon aquaculture industry,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82447,"Results of the analysis on fisheries products (Ezo abalone,Northern sea urchin,Land-locked salmon(farmed) and Brackish-water clam)(Ibaraki)(15June,2011)",Production,Aquaculture facility,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82460,Enrichment of Artemia nauplii with essential fatty acids and vitamin C: effect on rainbow trout (Oncorhynchus mykiss) larvae performance,Production,Feed; Fish biology; Fish welfare; Management,3,V3_125; V3_126; V3_127,Production > Fish welfare > Welfare assessment; Production > Fish welfare > Welfare risks and consequences; Production > Fish welfare > Welfare improvement,ambiguous,3 V3 paths match the existing lower-level labels.
72656,"Growth, feed efficiency and slaughter quality of salmon, Salmo salar L., given feeds with different ratios of carbohydrate and protein",Consumption; Production,Feed; Fish biology; General; Management,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72661,Genetically modified attenuated salmonid alphavirus: A potential strategy for immunization of Atlantic salmon,Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72733,In silico Characterization of bHLH Transcription Factor Genes in the Genome of Rainbow Trout (Oncorhynchus mykiss),Business and economy; Production; Research methods,Fish biology; Legislation; Management; Methodology; Research stage,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72781,The New Order in Global Salmon Markets and Aquaculture Development,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82509,Bioeconomic interaction between aquaculture and the common property fishery with application to northwest salmon resources,Business and economy,Economy,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72800,Corrigendum to: “Effects of maternal stress coping style on offspring characteristics in rainbow trout (Oncorhynchus mykiss)” Hormones and Behavior 60 (2011) 699–705,Production,Fish biology; Fish welfare,3,V3_125; V3_126; V3_127,Production > Fish welfare > Welfare assessment; Production > Fish welfare > Welfare risks and consequences; Production > Fish welfare > Welfare improvement,ambiguous,3 V3 paths match the existing lower-level labels.
82513,Identification and control of parasites in a new species for aquaculture: a case study with striped trumpeter,Production,Fish biology; Pathology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72841,"Erratum to “Amino acid-chelate: a better source of Zn, Mn and Cu for rainbow trout, Oncorhynchus mykiss” Aquaculture 240 (2004) 345–358",Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82524,Salmon farming in NewFoundland - AquaCircle,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82525,Salmon farming in Chile - AquaCircle,,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82526,Norway Salmon Farming Feeding the World - AquaCircle,Production,Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82352,The 2016 red tide crisis in southern Chile: Possible influence of the mass oceanic dumping of dead salmons,Impacts; Production; Research methods,Fish health; Management; Methodology; Social impacts,10,V3_088; V3_116; V3_117; V3_118; V3_119; V3_120; V3_121; V3_122; V3_123; V3_124,Production > Fish health > General fish health; Production > Fish health > Sea lice epidemiology; Production > Fish health > Sea lice control and treatment; Production > Fish health > Fish response to sea lice; Production > Fish health > Sea lice impacts; Production > Fish health > Other diseases - General; Production > Fish health > Other diseases - Epidemiology; Production > Fish health > Other diseases - Prevention and treatment; Production > Fish health > Other diseases - Diagnosis and detection; Production > Fish health > Non-infectious disease and disorders,ambiguous,10 V3 paths match the existing lower-level labels.
72897,"The Economics of Salmon Aquaculture, Second Edition - Lessons for Other Farmed Species",,,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
72962,Modelling sources of variation and risk factors for spinal deformity in farmed Atlantic salmon using hierarchical- and cross-classified multilevel models,Impacts; Production; Research methods,Aquaculture facility; Fish biology; Management; Methodology; Research stage; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
73048,"Occurrence of an adult Atlantic salmon in the River Rhône, France",Production,Aquaculture facility; Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82598,Latest trends in Salmon Aquaculture: A review,Impacts; Production,Aquaculture facility; Fish biology; Management; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
82614,Diseño del manual de funciones del área de producción de la empresa Truchera el Oasis S.A.S,Production,Aquaculture facility; Fish biology,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
73164,Social aspects of the sustainability of integrated multi-trophic aquaculture,Business and economy; Consumption; Impacts; Production,Aquaculture facility; Public image; Safety; Social impacts,0,,,no_unique_match,Existing lower-level labels do not uniquely identify a V3 path.
