input_doi,openalex_id,openalex_doi,doi_exact_match,title,publication_year,oa_is_oa,oa_status,oa_license,has_pdf,has_grobid_xml,has_fulltext,pdf_url,grobid_xml_url,status
10.3389/fmars.2023.1236294,https://openalex.org/W4386161176,10.3389/fmars.2023.1236294,TRUE,Modeling particulate waste assimilation by blue mussels within the spatial constraints of a commercial fish farm: implications for multitrophic aquaculture,2023,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4386161176.pdf,https://content.openalex.org/works/W4386161176.grobid-xml,matched
10.1016/j.aquaculture.2013.12.007,https://openalex.org/W2060622531,10.1016/j.aquaculture.2013.12.007,TRUE,Impact of hydrogen peroxide on hatching ability of egg strings from salmon lice (Lepeophtheirus salmonis) in a field treatment and in a laboratory study with ascending concentrations,2013,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.pt.2014.12.006,https://openalex.org/W2010873394,10.1016/j.pt.2014.12.006,TRUE,Drug resistance in sea lice: a threat to salmonid aquaculture,2015,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/jfd.12463,https://openalex.org/W2323641486,10.1111/jfd.12463,TRUE,A screening of multiple classes of pharmaceutical compounds for effect on preadult salmon lice Lepeophtheirus salmonis,2016,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1128/aem.01895-22,https://openalex.org/W4313857435,10.1128/aem.01895-22,TRUE,Microbial Community Dynamics during a Harmful Chrysochromulina leadbeateri Bloom in Northern Norway,2023,TRUE,green,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4313857435.pdf,https://content.openalex.org/works/W4313857435.grobid-xml,matched
10.1371/journal.pone.0151723,https://openalex.org/W2309698340,10.1371/journal.pone.0151723,TRUE,Localised Infection of Atlantic Salmon Epithelial Cells by HPR0 Infectious Salmon Anaemia Virus,2016,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2309698340.pdf,https://content.openalex.org/works/W2309698340.grobid-xml,matched
10.1111/jfd.12225,https://openalex.org/W2089923517,10.1111/jfd.12225,TRUE,Infectious salmon anaemia – pathogenesis and tropism,2014,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1111/jfd.12284,https://openalex.org/W2072422821,10.1111/jfd.12284,TRUE,Host tropism of infectious salmon anaemia virus in marine and freshwater fish species,2014,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1128/jvi.00047-12,https://openalex.org/W2113766593,10.1128/jvi.00047-12,TRUE,Expression of the Infectious Salmon Anemia Virus Receptor on Atlantic Salmon Endothelial Cells Correlates with the Cell Tropism of the Virus,2012,TRUE,bronze,NA,TRUE,FALSE,FALSE,https://content.openalex.org/works/W2113766593.pdf,NA,matched
10.1186/s13567-015-0265-1,https://openalex.org/W1802943043,10.1186/s13567-015-0265-1,TRUE,Infectious salmon anaemia virus (ISAV) mucosal infection in Atlantic salmon,2015,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W1802943043.pdf,https://content.openalex.org/works/W1802943043.grobid-xml,matched
10.1111/joa.12033,https://openalex.org/W1991724999,10.1111/joa.12033,TRUE,"Characterisation of a monoclonal antibody detecting A tlantic salmon endothelial and red blood cells, and its association with the infectious salmon anaemia virus cell receptor",2013,TRUE,green,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/j.scitotenv.2022.160199,https://openalex.org/W4309437141,10.1016/j.scitotenv.2022.160199,TRUE,Trade-offs in the transition to a blue economy - Mapping social acceptance of aquaculture expansion in Norway,2022,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1034/j.1600-0633.2003.00027.x,https://openalex.org/W1981322431,10.1034/j.1600-0633.2003.00027.x,TRUE,Survival of migrating sea trout (Salmo trutta) and Atlantic salmon (Salmo salar) smolts negotiating weirs in small Danish rivers,2003,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
10.1016/s0964-5691(97)00037-9,https://openalex.org/W1972245978,10.1016/s0964-5691(97)00037-9,TRUE,Norwegian salmon-farming industry in transition,1998,FALSE,closed,NA,FALSE,FALSE,FALSE,NA,NA,matched
