input_doi,openalex_id,openalex_doi,doi_exact_match,title,publication_year,oa_is_oa,oa_status,oa_license,has_pdf,has_grobid_xml,has_fulltext,pdf_url,grobid_xml_url,status
10.3389/fmars.2023.1236294,https://openalex.org/W4386161176,10.3389/fmars.2023.1236294,TRUE,Modeling particulate waste assimilation by blue mussels within the spatial constraints of a commercial fish farm: implications for multitrophic aquaculture,2023,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4386161176.pdf,https://content.openalex.org/works/W4386161176.grobid-xml,matched
10.1128/aem.01895-22,https://openalex.org/W4313857435,10.1128/aem.01895-22,TRUE,Microbial Community Dynamics during a Harmful Chrysochromulina leadbeateri Bloom in Northern Norway,2023,TRUE,green,NA,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4313857435.pdf,https://content.openalex.org/works/W4313857435.grobid-xml,matched
10.1371/journal.pone.0151723,https://openalex.org/W2309698340,10.1371/journal.pone.0151723,TRUE,Localised Infection of Atlantic Salmon Epithelial Cells by HPR0 Infectious Salmon Anaemia Virus,2016,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2309698340.pdf,https://content.openalex.org/works/W2309698340.grobid-xml,matched
10.1186/s13567-015-0265-1,https://openalex.org/W1802943043,10.1186/s13567-015-0265-1,TRUE,Infectious salmon anaemia virus (ISAV) mucosal infection in Atlantic salmon,2015,TRUE,gold,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W1802943043.pdf,https://content.openalex.org/works/W1802943043.grobid-xml,matched
10.1007/s41055-020-00068-3,https://openalex.org/W3021586773,10.1007/s41055-020-00068-3,TRUE,Lost in Translation? Multiple Discursive Strategies and the Interpretation of Sustainability in the Norwegian Salmon Farming Industry,2020,TRUE,hybrid,cc-by,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3021586773.pdf,https://content.openalex.org/works/W3021586773.grobid-xml,matched
10.1016/j.aqrep.2022.101316,https://openalex.org/W4293704283,10.1016/j.aqrep.2022.101316,TRUE,Utilization of feed resources in the production of Atlantic salmon (Salmo salar) in Norway: An update for 2020,2022,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4293704283.pdf,https://content.openalex.org/works/W4293704283.grobid-xml,matched
10.1016/j.aqrep.2022.101317,https://openalex.org/W4293860124,10.1016/j.aqrep.2022.101317,TRUE,Utilization of feed resources in the production of rainbow trout (Oncorhynchus mykiss) in Norway in 2020,2022,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4293860124.pdf,https://content.openalex.org/works/W4293860124.grobid-xml,matched
10.1016/j.aqrep.2022.101252,https://openalex.org/W4285026417,10.1016/j.aqrep.2022.101252,TRUE,Chemical composition of whole body and fillet of slaughter sized Atlantic salmon (Salmo salar) and rainbow trout (Oncorhynchus mykiss) farmed in Norway in 2020,2022,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W4285026417.pdf,https://content.openalex.org/works/W4285026417.grobid-xml,matched
10.17017/j.fish.133,https://openalex.org/W3082748444,10.17017/j.fish.133,TRUE,"Feed intake, nutrient digestibility and nutrient retention in Atlantic salmon (Salmo salar L.) fed diets with different physical pellet quality",2020,TRUE,diamond,cc-by-nc-sa,TRUE,TRUE,TRUE,https://content.openalex.org/works/W3082748444.pdf,https://content.openalex.org/works/W3082748444.grobid-xml,matched
10.3856/vol40-issue3-fulltext-4,https://openalex.org/W2002825273,10.3856/vol40-issue3-fulltext-4,TRUE,Parameters to evaluate the immunostimulant effect of Zymosan A in head kidney leucocytes (HKL) of salmonids,2012,TRUE,gold,cc-by-nc-nd,TRUE,TRUE,TRUE,https://content.openalex.org/works/W2002825273.pdf,https://content.openalex.org/works/W2002825273.grobid-xml,matched
