record_sequence,type,record_id,title,short_title,abstract_raw,authors,doi_raw,year_raw,journal,volume,issue,pages,url_raw,raw_field_count,abstract,doi,year,title_normalised,abstract_word_count,title_word_count,has_title,has_abstract,has_valid_doi,parser_missing_type,parser_missing_id,final_species,species_source,species_decision,llm_species,species_reason,final_primary_country_iso3c,geography_source,geography_decision,llm_primary_country_iso3c,geography_reason,override_reason,assignment_reason,broad_topic,subtopic,feature,component,historical_screening_correction,source_file,title_key,doi_key,first_author_key,relevance_probability,relevance_decision,llm_decision,llm_reason,llm_failed.x,llm_error.x,final_screening_decision,deterministic_species,deterministic_species_ids,species_review_required,deterministic_primary_countries,deterministic_primary_iso3c,geography_review_required,llm_failed.y,llm_error.y,topic_path_ids,topic_hierarchy_paths,topic_review_required,topic_review_reason
111,JOUR,82444,Environmental conflict and democracy in Canada,Environmental conflict and democracy in Canada,"This path-breaking collection brings together environmental politics and democratic theory to reveal the deficits of citizenship and how democracy must be extended to achieve a socially just, ecologically sustainable society in Canada.","Adkin, L. E.",NA,2009,,,,,http://ci.nii.ac.jp/ncid/BB05440726http://www.ubcpress.ca/books/pdf/chapters/2009/EnvironmentalConflictandDemocracyinCanada.pdfhttps://lens.org/109-231-288-547-110,14,"This path-breaking collection brings together environmental politics and democratic theory to reveal the deficits of citizenship and how democracy must be extended to achieve a socially just, ecologically sustainable society in Canada.",,2009,environmental conflict and democracy in canada,32,6,TRUE,TRUE,FALSE,FALSE,FALSE,,deterministic + LLM accepted,ACCEPT,NONE,No mention of farmed salmonids or aquaculture in title/abstract; non-target topic.,CAN,deterministic,,,,,No topic dictionary terms detected,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
207,JOUR,72673,Transcriptome-Wide Comparisons and Virulence Gene Polymorphisms of Host-Associated Genotypes of the Cnidarian Parasite Ceratonova shasta in Salmonids,Transcriptome-Wide Comparisons and Virulence Gene Polymorphisms of Host-Associated Genotypes of the Cnidarian Parasite Ceratonova shasta in Salmonids,"Fil: Alama Bermejo, Gema. Universidad Nacional del Comahue. Centro de Investigacion Aplicada y Transferencia Tecnologica en Recursos Marinos \""Almirante Storni\"". - Provincia de Rio Negro. Ministerio de Agricultura, Ganaderia y Pesca. Centro de Investigacion Aplicada y Transferencia Tecnologica en Recursos Marinos \""Almirante Storni\"". Consejo Nacional de Investigaciones Cientificas y Tecnicas. Centro Cientifico Tecnologico Conicet Centro Nacional Patagonico. Centro de Investigacion Aplicada y Transferencia Tecnologica en Recursos Marinos \""Almirante Storni\""; Argentina. Academy of Sciences of the Czech Republic. Biology Centre. Institute of Parasitology; Republica Checa. State University of Oregon; Estados Unidos","Alama-Bermejo, G. | Meyer, E. | Atkinson, S. D. | Holzer, A. S. | Wiśniewska, M. M. | Kolisko, M. | Bartholomew, J. L.",10.1093/gbe/evaa109,2020,Genome biology and evolution,12,8,1258-1276,https://academic.oup.com/gbe/article/12/8/1258/5848411https://pubmed.ncbi.nlm.nih.gov/32467979/https://ri.conicet.gov.ar/handle/11336/139838https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7487138https://lens.org/127-146-107-099-141,20,"Fil: Alama Bermejo, Gema. Universidad Nacional del Comahue. Centro de Investigacion Aplicada y Transferencia Tecnologica en Recursos Marinos \""Almirante Storni\"". - Provincia de Rio Negro. Ministerio de Agricultura, Ganaderia y Pesca. Centro de Investigacion Aplicada y Transferencia Tecnologica en Recursos Marinos \""Almirante Storni\"". Consejo Nacional de Investigaciones Cientificas y Tecnicas. Centro Cientifico Tecnologico Conicet Centro Nacional Patagonico. Centro de Investigacion Aplicada y Transferencia Tecnologica en Recursos Marinos \""Almirante Storni\""; Argentina. Academy of Sciences of the Czech Republic. Biology Centre. Institute of Parasitology; Republica Checa. State University of Oregon; Estados Unidos",10.1093/gbe/evaa109,2020,transcriptome wide comparisons and virulence gene polymorphisms of host associated genotypes of the cnidarian parasite ceratonova shasta in salmonids,90,17,TRUE,TRUE,TRUE,FALSE,FALSE,,deterministic + LLM accepted,ACCEPT,NONE,No mention of farmed salmonids or specific eligible farmed species; ‘salmonids’ is generic and study context does not indicate farming so cannot infer farmed species.,,deterministic + LLM accepted,ACCEPT,NONE,"No country-level study location stated; only author affiliations (Argentina, Czechia, USA) are listed, which cannot be used to assign primary study geography.",,One or more topic dictionary terms detected,Production,Pathology,General,General,FALSE,,,,,,,,,,,,,,,,,,,,,,,
254,JOUR,82479,The quality of fish meat from different locations of Una Sana Canton,The quality of fish meat from different locations of Una Sana Canton,"From the aspects of fish research the Una Sana Canton (henceforth USK) waters belong to the less tested areas of Bosnia and Herzegovina. Taking into the consideration this fact the quality and quantity of Una river and some tributarie, Klokot and Krusnica, have been tested. Therefore, the morphometric and meristic characteristic as well as the quality of fish meat have been analysed. Fish samples were taken from tree locations of the river flow (river-head, midlle flow and river-bed) and also from fish farming. The research was carried out in spring-summer 2002. The aim of this study was to show the quality of fish meat from natural habit (three locations) and fish farming and to establish eventually significant differences in quality according to place of trout and locations of catch. However considering the most presented Salmonidae and Thymallidae family located in Una´s tributaries, we have analysed the meat quality of Brown Trout (Salmo truta m. fario), Californien Trout (Salmo gairdneri) and European Grayling (Thymallus thymallus). The following chemical parameters have been analysed: proteins, carbohydrates, fats, water, ash, minarals.","Alibabić, V. | Vahčić, N. | Makić, H. | Bećiraj, A. | Beganovic, Z.",NA,2002,,,,,https://bib.irb.hr/prikazi-rad?&rad=137352https://lens.org/154-336-791-438-192,18,"From the aspects of fish research the Una Sana Canton (henceforth USK) waters belong to the less tested areas of Bosnia and Herzegovina. Taking into the consideration this fact the quality and quantity of Una river and some tributarie, Klokot and Krusnica, have been tested. Therefore, the morphometric and meristic characteristic as well as the quality of fish meat have been analysed. Fish samples were taken from tree locations of the river flow (river-head, midlle flow and river-bed) and also from fish farming. The research was carried out in spring-summer 2002. The aim of this study was to show the quality of fish meat from natural habit (three locations) and fish farming and to establish eventually significant differences in quality according to place of trout and locations of catch. However considering the most presented Salmonidae and Thymallidae family located in Una´s tributaries, we have analysed the meat quality of Brown Trout (Salmo truta m. fario), Californien Trout (Salmo gairdneri) and European Grayling (Thymallus thymallus). The following chemical parameters have been analysed: proteins, carbohydrates, fats, water, ash, minarals.",,2002,the quality of fish meat from different locations of una sana canton,177,12,TRUE,TRUE,FALSE,FALSE,FALSE,Rainbow trout,deterministic,,,,BIH,deterministic,,,,,One or more topic dictionary terms detected,Consumption; Production,Aquaculture facility; Fish biology; General; Pathology; Quality,General; Quality; Species; Treatment; Type,General; Location; Quality; Rainbow trout,FALSE,,,,,,,,,,,,,,,,,,,,,,,
355,JOUR,72783,Private aquaculture and commercial fisheries: An expanded treatment of the bioeconomics of salmon ranching,Private aquaculture and commercial fisheries: An expanded treatment of the bioeconomics of salmon ranching,"This paper shows that common property problems associated with open access salmon ranching in the absence of a commercial fishery result in inefficiency characterized by overstocking. The presence of an open access fishery presents additional common property problems which will inhibit the development of fish ranching. At prices where salmon ranching does occur, the open access commercial fishery will tend to overexploit the natural fish stock to a greater extent than if there were no salmon ranching. It is shown that there exists a range of prices where both fish stocks can coexist with open access. However, there is a limit price above which the natural stock will be driven to extinction through overfishing stimulated by stock from salmon ranchers. The range of prices under which both species can coexist can be increased through either restrictions of fishery effort or reducing the catchability of aquacultured stock. Cooperative management of both aquaculture and commercial fishing results in profits from both activities and will not cause extinction of the natural fish stock.","Anderson, J. L.",10.22004/ag.econ.212074,,,,,,https://ageconsearch.umn.edu/record/212074/files/RI%20Sept%201984.pdfhttps://ideas.repec.org/p/ags/usrisp/212074.htmlhttps://lens.org/140-239-737-139-623,13,"This paper shows that common property problems associated with open access salmon ranching in the absence of a commercial fishery result in inefficiency characterized by overstocking. The presence of an open access fishery presents additional common property problems which will inhibit the development of fish ranching. At prices where salmon ranching does occur, the open access commercial fishery will tend to overexploit the natural fish stock to a greater extent than if there were no salmon ranching. It is shown that there exists a range of prices where both fish stocks can coexist with open access. However, there is a limit price above which the natural stock will be driven to extinction through overfishing stimulated by stock from salmon ranchers. The range of prices under which both species can coexist can be increased through either restrictions of fishery effort or reducing the catchability of aquacultured stock. Cooperative management of both aquaculture and commercial fishing results in profits from both activities and will not cause extinction of the natural fish stock.",10.22004/ag.econ.212074,,private aquaculture and commercial fisheries an expanded treatment of the bioeconomics of salmon ranching,170,14,TRUE,TRUE,TRUE,FALSE,FALSE,Unspecified farmed salmon,deterministic,,,,,,,,,,One or more topic dictionary terms detected,Business and economy,Economy; Legislation,Economy; Legislation,Economy; Legislation,FALSE,,,,,,,,,,,,,,,,,,,,,,,
357,JOUR,72784,Private aquaculture and commercial fisheries: Bioeconomics of salmon ranching,Private aquaculture and commercial fisheries: Bioeconomics of salmon ranching,"This paper shows that common property problems associated with open access salmon ranching in the absence of a commercial fishery result in inefficiency characterized by overstocking. The presence of an open access fishery presents additional common property problems which will inhibit the development of fish ranching. At prices where salmon ranching does occur, the open access commercial fishery will tend to overexploit the natural fish stock to a greater extent than if there were no salmon ranching. It is shown that there exists a range of prices where both fish stocks can coexist with open access. However, there is a limit price above which the natural stock will be driven to extinction through overfishing stimulated by stock from salmon ranchers. The range of prices under which both species can coexist can be increased through either restrictions of fishery effort or reducing the catchability of aquacultured stock. Cooperative management of both aquaculture and commercial fishing results in profits from both activities and will not cause extinction of the natural fish stock. © 1985.","Anderson, J. L.",10.1016/0095-0696(85)90005-1,1985,Journal of Environmental Economics and Management,12,4,353-370,https://ideas.repec.org/a/eee/jeeman/v12y1985i4p353-370.htmlhttps://econpapers.repec.org/RePEc:eee:jeeman:v:12:y:1985:i:4:p:353-370https://www.sciencedirect.com/science/article/pii/0095069685900051https://lens.org/030-091-544-581-718,14,"This paper shows that common property problems associated with open access salmon ranching in the absence of a commercial fishery result in inefficiency characterized by overstocking. The presence of an open access fishery presents additional common property problems which will inhibit the development of fish ranching. At prices where salmon ranching does occur, the open access commercial fishery will tend to overexploit the natural fish stock to a greater extent than if there were no salmon ranching. It is shown that there exists a range of prices where both fish stocks can coexist with open access. However, there is a limit price above which the natural stock will be driven to extinction through overfishing stimulated by stock from salmon ranchers. The range of prices under which both species can coexist can be increased through either restrictions of fishery effort or reducing the catchability of aquacultured stock. Cooperative management of both aquaculture and commercial fishing results in profits from both activities and will not cause extinction of the natural fish stock. © 1985.",10.1016/0095-0696(85)90005-1,1985,private aquaculture and commercial fisheries bioeconomics of salmon ranching,172,9,TRUE,TRUE,TRUE,FALSE,FALSE,Unspecified farmed salmon,deterministic,,,,,,,,,,One or more topic dictionary terms detected,Business and economy,Economy; Legislation,Economy; Legislation,Economy; Legislation,FALSE,,,,,,,,,,,,,,,,,,,,,,,
670,JOUR,73015,Corrigendum to “Assessing alternative aquaculture technologies: life cycle assessment of salmonid culture systems in Canada” J Cleaner Prod. Special Issue on the Sustainability of Seafood Production and Consumption 17(3) (2009): 362–373,Corrigendum to “Assessing alternative aquaculture technologies: life cycle assessment of salmonid culture systems in Canada” J Cleaner Prod. Special Issue on the Sustainability of Seafood Production and Consumption 17(3) (2009): 362–373,"The publisher has been notified by the author that errors occurred in Table 3 on page 367 of the above article. Under the heading “Netpen”, in the rows “Grow-out infrastructure” and “On-site fuel use”, under the column “GWP”, the values 185 and 55.8 should be switched so that “Grow-out infrastructure” shows 55.8 for GWP and so that “On-site fuel use” shows 185 for GWP. As a result of this correction, for chart “a”, the GWP bar will be different for the Figure 3 on page 368.","Ayer, N. W. | Tyedmers, P.",10.1016/j.jclepro.2010.07.021,2010,Journal of Cleaner Production,18,14,1481-1483,http://www.sciencedirect.com/science/article/pii/S0959652610002878#!http://linkinghub.elsevier.com/retrieve/pii/S0959652610002878https://lens.org/035-157-742-253-986,15,"The publisher has been notified by the author that errors occurred in Table 3 on page 367 of the above article. Under the heading “Netpen”, in the rows “Grow-out infrastructure” and “On-site fuel use”, under the column “GWP”, the values 185 and 55.8 should be switched so that “Grow-out infrastructure” shows 55.8 for GWP and so that “On-site fuel use” shows 185 for GWP. As a result of this correction, for chart “a”, the GWP bar will be different for the Figure 3 on page 368.",10.1016/j.jclepro.2010.07.021,2010,corrigendum to assessing alternative aquaculture technologies life cycle assessment of salmonid culture systems in canada j cleaner prod special issue on the sustainability of seafood production and consumption 17 3 2009 362 373,86,31,TRUE,TRUE,TRUE,FALSE,FALSE,,deterministic + LLM accepted,ACCEPT,UNSPECIFIED_FARMED_SALMON,"Title refers to salmonid culture systems but no specific salmonid species are named in title or abstract, so use generic farmed salmon.",CAN,deterministic,,,,,One or more topic dictionary terms detected,Research methods,Methodology,General,General,FALSE,,,,,,,,,,,,,,,,,,,,,,,
917,JOUR,82634,Les habitats benthiques de la Rade de Cherbourg : une enclave de sédiments meubles dans une zone à très fort de hydrodynamisme,Les habitats benthiques de la Rade de Cherbourg : une enclave de sédiments meubles dans une zone à très fort de hydrodynamisme,"La rade de Cherbourg est une zone particuliere puisqu’elle presente une diversite de facies sedimentaires (vase, sable fins, cailloutis, graviers et affleurements rocheux), avec la presence de zones envasees, phenomene anachronique dans cet environnement soumis a un fort hydrodynamisme (courant de maree atteignant jusqu’a 1ms-1 au nord de la grande rade). La presence d’une ferme d’elevage de salmonides ainsi que des ports de peche et de plaisance, des lignes de ferries et les projets lies a l’accueil des Energies Marines Renouvelables en font une zone aux defis economiques et environnementaux importants pour la Normandie. Dans ce cadre, la rade de Cherbourg fait l’objet d’un programme de monitoring integrant les differents compartiments environnementaux. Les resultats presentes concernent un etat zero de la qualite de l’environnement dans l’ensemble de la rade avant l’extension de terre-pleins (37 ha). La distribution des facies sedimentaires presents dans la zone en liens avec les communautes benthiques sont presentes. Cette etude met en evidence la presence de cinq facies sedimentaires fins et de six communautes benthiques. La rade de Cherbourg apparait comme une enclave de substrats meubles, dans un environnement voisin de nature plus grossiere, permettant l’installation d’une faune riche et diversifiee en comparaison a celles situees a l’exterieur de la rade. L’impact de la ferme d’elevage est minimise par la presence du fort hydrodynamisme permettant la remise en suspension des particules sedimentaires, des feces ainsi que de la nourriture non-consommee. La presence, en fortes abondances, de certaines especes benthiques caracteristiques d’un enrichissement en matiere organique est cependant mise en evidence sous les cages. D’autre part, en comparaison avec d’autres communautes presentes en Manche (cotes anglaises et francaises), les communautesbenthiques des sables fins et des sables envases de la Rade, sont plus proches de celles presentes en Manche Ouest en termes d’assemblages faunistiques et d’abondances.","Baux, N. | Dauvin, J. C. | Baffreau, A. | Pezy, J. P. | Poizot, E. | Méar, Y. | Bachelet, Q. | Guyonnet, B.",NA,2016,,,,,https://hal-normandie-univ.archives-ouvertes.fr/hal-01709312https://hal.archives-ouvertes.fr/hal-01456379https://lens.org/065-737-115-640-10X,21,"La rade de Cherbourg est une zone particuliere puisqu’elle presente une diversite de facies sedimentaires (vase, sable fins, cailloutis, graviers et affleurements rocheux), avec la presence de zones envasees, phenomene anachronique dans cet environnement soumis a un fort hydrodynamisme (courant de maree atteignant jusqu’a 1ms-1 au nord de la grande rade). La presence d’une ferme d’elevage de salmonides ainsi que des ports de peche et de plaisance, des lignes de ferries et les projets lies a l’accueil des Energies Marines Renouvelables en font une zone aux defis economiques et environnementaux importants pour la Normandie. Dans ce cadre, la rade de Cherbourg fait l’objet d’un programme de monitoring integrant les differents compartiments environnementaux. Les resultats presentes concernent un etat zero de la qualite de l’environnement dans l’ensemble de la rade avant l’extension de terre-pleins (37 ha). La distribution des facies sedimentaires presents dans la zone en liens avec les communautes benthiques sont presentes. Cette etude met en evidence la presence de cinq facies sedimentaires fins et de six communautes benthiques. La rade de Cherbourg apparait comme une enclave de substrats meubles, dans un environnement voisin de nature plus grossiere, permettant l’installation d’une faune riche et diversifiee en comparaison a celles situees a l’exterieur de la rade. L’impact de la ferme d’elevage est minimise par la presence du fort hydrodynamisme permettant la remise en suspension des particules sedimentaires, des feces ainsi que de la nourriture non-consommee. La presence, en fortes abondances, de certaines especes benthiques caracteristiques d’un enrichissement en matiere organique est cependant mise en evidence sous les cages. D’autre part, en comparaison avec d’autres communautes presentes en Manche (cotes anglaises et francaises), les communautesbenthiques des sables fins et des sables envases de la Rade, sont plus proches de celles presentes en Manche Ouest en termes d’assemblages faunistiques et d’abondances.",,2016,les habitats benthiques de la rade de cherbourg une enclave de sediments meubles dans une zone a tres fort de hydrodynamisme,298,22,TRUE,TRUE,FALSE,FALSE,FALSE,,deterministic + LLM accepted,ACCEPT,UNSPECIFIED_FARMED_SALMON,Abstract explicitly mentions a 'ferme d’elevage de salmonides' (farmed salmonids) but no specific species named.,,,,,,,One or more topic dictionary terms detected,Impacts; Production,Environmental impacts; Fish biology,Anatomy; Nutrient load,Anatomy; Nutrient load,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1010,JOUR,73285,Effectiveness of a commercial-scale pressure shocking device for producing triploid salmonids,Effectiveness of a commercial-scale pressure shocking device for producing triploid salmonids,"The results of using a mechanical device for applying hydrostatic pressure to salmonid eggs for the induction of triploidy on a commercial scale are described. The 1 liter vessel can hold over 3000 fertilized eggs having an average diameter of 7·44 mm. A new batch of eggs can be treated approximately every 10 min. The apparatus was only 70% as effective in producing triploid chum salmon as a 40 ml capacity French pressure cell and Carver laboratory press, using a treatment of 4 min at 10 000 psi applied 15 min after fertilization and incubation at 11°C. © 1988.","Benfey, T. J. | Bosa, P. G. | Richardson, N. L. | Donaldson, E. M.",10.1016/0144-8609(88)90017-9,1988,Aquacultural Engineering,7,3,147-154,https://www.sciencedirect.com/science/article/pii/0144860988900179http://www.sciencedirect.com/science/article/pii/0144860988900179https://lens.org/086-016-459-404-495,17,"The results of using a mechanical device for applying hydrostatic pressure to salmonid eggs for the induction of triploidy on a commercial scale are described. The 1 liter vessel can hold over 3000 fertilized eggs having an average diameter of 7·44 mm. A new batch of eggs can be treated approximately every 10 min. The apparatus was only 70% as effective in producing triploid chum salmon as a 40 ml capacity French pressure cell and Carver laboratory press, using a treatment of 4 min at 10 000 psi applied 15 min after fertilization and incubation at 11°C. © 1988.",10.1016/0144-8609(88)90017-9,1988,effectiveness of a commercial scale pressure shocking device for producing triploid salmonids,99,11,TRUE,TRUE,TRUE,FALSE,FALSE,Chum salmon,deterministic,,,,FRA,deterministic,,,,,One or more topic dictionary terms detected,Production; Research methods,Fish biology; Research stage,Anatomy; Management; Reproduction; Research stage; Species,Anatomy; Chum salmon; Genetics; Reproduction; Research stage,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1280,JOUR,73502,Indigenous Rights in the U.S. Marine Environment: The Stevens Treaties and Their Effects on Harvests and Habitat,Indigenous Rights in the U.S. Marine Environment: The Stevens Treaties and Their Effects on Harvests and Habitat,"There are few recognized indigenous rights in the US marine environment. Indigenous rights in the US are the product of treaties, since there are little, if any, aboriginal rights remaining. And treaty rights recognizing indigenous rights are unusual. Most concern what are known as the Stevens Treaties of the 1850s, in which the native tribes conveyed most of today’s US Pacific Northwest for incidental benefits like agricultural tools and, more importantly,“the right of taking fish in common with” the incoming settlers. Several Stevens Treaty tribes have rights to harvest fish in the marine environment, including the Lummi and Makah tribes, which have been involved in quite a bit of litigation concerning the nature and scope of their rights. We examine these conflicts in this chapter.","Blumm, M. C. | Jamin, O.",10.2139/ssrn.3176105,2018,SSRN Electronic Journal,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3176105https://lens.org/077-522-806-201-541,15,"There are few recognized indigenous rights in the US marine environment. Indigenous rights in the US are the product of treaties, since there are little, if any, aboriginal rights remaining. And treaty rights recognizing indigenous rights are unusual. Most concern what are known as the Stevens Treaties of the 1850s, in which the native tribes conveyed most of today’s US Pacific Northwest for incidental benefits like agricultural tools and, more importantly,“the right of taking fish in common with” the incoming settlers. Several Stevens Treaty tribes have rights to harvest fish in the marine environment, including the Lummi and Makah tribes, which have been involved in quite a bit of litigation concerning the nature and scope of their rights. We examine these conflicts in this chapter.",10.2139/ssrn.3176105,2018,indigenous rights in the u s marine environment the stevens treaties and their effects on harvests and habitat,125,17,TRUE,TRUE,TRUE,FALSE,FALSE,,deterministic + LLM accepted,ACCEPT,NONE,No mention of farmed salmonids; discussion concerns indigenous rights and wild harvests.,,,,,,,One or more topic dictionary terms detected,Impacts; Production,Aquaculture facility; Environmental impacts; Management; Social impacts,Biodiversity impacts; General; Production stage; Social impacts; Type,Biodiversity impacts; General; Location; Production stage; Social impacts,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1524,JOUR,82748,Potential for aquatic oligochaetes as live food in commercial aquaculture,Potential for aquatic oligochaetes as live food in commercial aquaculture,"Aquatic oligochaetes may potentially become an important constituent in commercial aquaculture as a live food source. Tttbifex tUbifex, Limnodrilus species, Branchiura sowerbyi and the lumbriculid Lumbriculus varie­ gatus have been economically mass cultured with production rates of 15 kg m -2 and population doubling times of 11-42 days reported. Relatively high growth and survival rates of trout, salmon and sturgeon have been achieved in association with the use of this live food source. Benefits stem from advantages with increased appetites and palatability. As well, sanitation and heating requirements in fish hatchery situations may be reduced. Disease transmission must be prevented. Besides the traditional use of \""tubifex worms\"" as a food for tropical fish in the pet trade, there is a potential use for them as a live food source in com­ mercial aquaculture. Timm (1972) has realized this potential and has investigated techniques for mass culturing Tttbifex tubifex, Limnodrilus spp., and Lumbriculus variegatus. Branchiura sowerbyi also shows potential for mass culture (Aston et al., 1982). It should be noted that the definition of \""tubifex\"" is used loosely within this text as has been the accept­ ed terminology in the live food industry. It generally refers to about four or five species of Tubificidae and Lumbriculidae which are commonly used.","Brinkhurst, R. O. | Diaz, R. J. | Publishers, W. J.",NA,1987,,,,,https://lens.org/075-210-369-274-682https://link.springer.com/content/pdf/10.1007/978-94-009-3091-9_40.pdf,16,"Aquatic oligochaetes may potentially become an important constituent in commercial aquaculture as a live food source. Tttbifex tUbifex, Limnodrilus species, Branchiura sowerbyi and the lumbriculid Lumbriculus varie­ gatus have been economically mass cultured with production rates of 15 kg m -2 and population doubling times of 11-42 days reported. Relatively high growth and survival rates of trout, salmon and sturgeon have been achieved in association with the use of this live food source. Benefits stem from advantages with increased appetites and palatability. As well, sanitation and heating requirements in fish hatchery situations may be reduced. Disease transmission must be prevented. Besides the traditional use of \""tubifex worms\"" as a food for tropical fish in the pet trade, there is a potential use for them as a live food source in com­ mercial aquaculture. Timm (1972) has realized this potential and has investigated techniques for mass culturing Tttbifex tubifex, Limnodrilus spp., and Lumbriculus variegatus. Branchiura sowerbyi also shows potential for mass culture (Aston et al., 1982). It should be noted that the definition of \""tubifex\"" is used loosely within this text as has been the accept­ ed terminology in the live food industry. It generally refers to about four or five species of Tubificidae and Lumbriculidae which are commonly used.",,1987,potential for aquatic oligochaetes as live food in commercial aquaculture,209,10,TRUE,TRUE,FALSE,FALSE,FALSE,Unspecified farmed salmon,deterministic,,,,,,,,,,One or more topic dictionary terms detected,Business and economy; Production,Fish biology; Management; Pathology; Supply chains,General; Life stage; Outcome; Production stage; Supply chains,General; Life stage; Outcome; Production stage; Supply chains,FALSE,,,,,,,,,,,,,,,,,,,,,,,
