record_id,human_decision,source
82444,exclude,master_79_manual_review
72673,exclude,master_79_manual_review
82479,exclude,master_79_manual_review
72783,exclude,master_79_manual_review
72784,exclude,master_79_manual_review
73015,exclude,master_79_manual_review
82634,exclude,master_79_manual_review
73285,exclude,master_79_manual_review
73502,exclude,master_79_manual_review
82748,exclude,master_79_manual_review
73724,exclude,master_79_manual_review
74017,exclude,master_79_manual_review
74303,exclude,master_79_manual_review
82933,exclude,master_79_manual_review
74655,exclude,master_79_manual_review
74716,exclude,master_79_manual_review
82408,exclude,master_79_manual_review
75352,exclude,master_79_manual_review
75412,exclude,master_79_manual_review
76062,exclude,master_79_manual_review
76154,exclude,master_79_manual_review
76325,exclude,master_79_manual_review
76440,exclude,master_79_manual_review
83328,exclude,master_79_manual_review
83422,exclude,master_79_manual_review
77965,exclude,master_79_manual_review
83782,exclude,master_79_manual_review
79240,exclude,master_79_manual_review
84507,exclude,master_79_manual_review
80207,exclude,master_79_manual_review
80455,exclude,master_79_manual_review
84154,exclude,master_79_manual_review
80930,exclude,master_79_manual_review
82301,exclude,master_79_manual_review
