doi_for_lookup,openalex_id,openalex_title,openalex_is_retracted,openalex_lookup_status,openalex_error,last_checked_at,next_check_at
10.1002/2688-8319.70104,https://openalex.org/W4413460899,What are the effects of sea lice on wild and farmed Pacific and Atlantic salmon? A systematic map protocol,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1002/aah.10235,https://openalex.org/W4405922249,"Predicting the abundance of Lepeophtheirus salmonis in the Bay of Fundy, New Brunswick",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1002/aff2.70020,https://openalex.org/W4405470881,Health Monitoring of Invasive Pink Salmon Oncorhynchus gorbuscha in Norway in 2023,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1002/aff2.70021,https://openalex.org/W4404753859,"Increased Liver Size and Dysfunction, Ionoregulatory Disturbance and Opportunistic Infections in Atlantic Salmon ( Salmo salar ) at Low Temperatures: A Case Study",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1002/aff2.70023,https://openalex.org/W4405007834,Off‐Flavour Removal With Advanced Oxidation Process and Hydrogen Peroxide Treatments in Recirculating Aquaculture Systems,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1002/aff2.70027,https://openalex.org/W4405456941,Unlocking Potential Benefits on Applications of Probiotics in Inland Aquaculture Industry: A Review,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1002/aff2.70054,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1002/aff2.70064,,,FALSE,failed,HTTP 504 Gateway Timeout.,2026-08-24T15:52:11Z,2026-08-25T15:52:11Z
10.1002/aff2.70079,https://openalex.org/W4412098625,Pathogens From Salmon Aquaculture in Relation to Conservation of Wild Pacific Salmon in Canada: An Alternative Perspective,FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
10.1002/aff2.70079/v1/decision1,https://openalex.org/W4414665821,"Decision letter for ""Pathogens From Salmon Aquaculture in Relation to Conservation of Wild Pacific Salmon in Canada: An Alternative Perspective""",FALSE,matched,,2026-08-24T15:52:11Z,2026-11-22T15:52:11Z
