lens_id,doi,repaired_abstract
039-159-014-860-459,10.1023/b:fish.0000035937.68098.83,"Retentions of total n-3 and n-6 essential fatty acids (EFAs) were assessed in Atlantic salmon (Salmo salar L.) parr held at 8 ¡C and 2 ¡C until they increased in weight from ca. 19 g to 38 g. Feeds contained sandeel oil or a rapeseed:linseed oil blend at 21 and 34% dietary fat. EFA retention efficiencies [(g EFA gained g EFA ingested-1) _ 100] were estimated by the 'mass balance method' from measurements of feed intake, changes in biomass for each tank of fish, and fatty acid compositions of the feeds and fish. The n-3 EFA retentions were higher (overall mean 71%) across feed treatments and temperatures than the n-6 EFA retentions (overall mean 63%). Retentions of the n-3 fatty acids were higher in the fish given the feeds with the lower fat content (77% vs. 65%), implying improved retention with reduced n-3 EFA availability. n-3 EFA retention tended to be higher at 2 ¡C than at 8 ¡C, although this was not consistent across feeds. At low temperature there was very high retention of the n-3 EFAs in feeds containing sandeel oil (80%). Such high retention may represent an adaptation response to low temperature. Lower n-6 EFA retentions imply that more n-6 fatty acids were metabolized than n-3 EFAs. Feed oil influenced retention of the n-6 fatty acids, retention being lower for the salmon parr given the feeds containing sandeel oil (56% vs. 71%). This could indicate a higher tissue deposition of n-6 fatty acids when they are freely available via the diet. Abbreviations: AA Ð arachidonic acid (C20:4 n-6); DHA Ð docosahexaenoic acid (C22:6 n-3); EFA Ð essential fatty acid; EPA Ð eicosapentaenoic acid (C20:5 n-3); HUFA Ð highly-unsaturated fatty acid (\ge4 double bonds); MUFA Ð monounsaturated fatty acid (1 double bond); PL Ð phospholipid; PUFA Ð poly-unsaturated fatty acids (\ge2 double bonds); SFA Ð saturated fatty acid (no double bond); TAG Ð triacylglycerol."
120-721-821-422-19X,10.1038/hdy.1995.177,"This study aimed to increase the number of allozyme loci which may be screened in the Atlantic salmon, Salmo salar L., particularly for use in investigating interactions between wild populations and reared strains. Three samples of wild salmon from Ireland, Scotland and Spain and one from a farmed strain of Norwegian origin were used as index samples. Other Irish samples were used in technique development. Ninety-one enzyme loci were resolved, including 21 not previously screened in S. salar. Thirteen loci were found to be variable, including three novel polymorphic loci (EST-5*, FBALD-3* and TPI-3*). Two novel alleles (sAAT-1,2*130 and sAAT-3*83) were also detected. Levels of variability were lowest in the Spanish sample. The farmed strain had levels of H_ and __ lower than those in the two other wild samples. Mean levels of __ and __ were higher than those reported previously in studies that used a smaller number of loci but confirm S. salar as one of the less variable salmonids. Nine of the 13 variable loci showed significant population differentiation, the most discriminatory being mMEP-2*. The discriminatory power of the novel variable loci was in the middle of the range of those of the other loci. D_ values reflected the relative geographical locations from which the samples originated. There were significant clines in allele frequencies at mMEP-2* and TPI-3*. Fourteen enzyme loci including six variable loci were resolved in adipose fin."
054-102-097-127-40X,10.52547/aqudev.16.1.135,"The native species of Caspian brown trout (Salmo trutta caspius, Kessler1877) is an important candidate for introducing to the aquaculture industry because of carcass quality and marketing in Iran. In introducing any species, it is necessary to complete the domestication stages. The most important advantages of domestication are controlling the costs and the biological and non-biological factors include environmental and social aspects in order to economize this activity and interaction between genetics and environment in breeding program, must be considered. A survey of the activity duration of the 43 Caspian brown trout farms showed the biggest challenge is the lack of sustainability. For this research, two questionnaires were designed. In first questionnaire, 16 professionals and experienced people were asked to determine the most important environmental and management factors affecting on the sustainability of this activity who completed the list and rated each of the factors. Water temperature factor with 13.15% and water debi with 7.03% obtained highest and lowest scores. Then second questionnaire was prepared including farm characteristics based on the first questionnaire results and was sent to 43 farms. Finally, 26 completed forms were received from the farmers. For scientific evaluation of the results, the variance multivariate analysis, Pillai,s Trace, LambadaWilk,s, Hotelling,s Trace, Roy,s largest root and  Helmert Contrast tests were performed using spss16 software. The result showed, there was significant reciprocal correlation (p<0.01) between all groups of dependent variables, except for water debi and the weight of fry at the beginning of aquaculture (p>0.01), Also minimum temperature and aeriation system factors had significant main effect on activity duration (p<0.01). In the Helmert Contrast comparison statistic, there was significant correlation between 4 years of experiences group and rest groups for minimum temperature factor (p<0.01). The results of this study can be used by aquaculture planners to select appropriate environmental and management conditions for sustainable production of this activity."
175-405-800-730-637,10.52547/aqudev.16.3.103,"The aim of the present study is to investigate the growth performance and sexual maturation process of female rainbow trout reared in a cage in the Caspian Sea (Mazandaran- Nowshahr). Rainbow trout with an average weight of 122± 5 g were stocked into a cage located in Caspian Sea. Fish were fed daily and random sampling was done monthly (January 2015) to May 2016. Weight and length of thirty fish were measured; their gonad and liver were weighted; total length, total weight, liver and gonad weight, condition factor, GSI and HSI and oocyte diameter were calculated; their blood samples were collected and the levels of 17 beta estradiol, testosterone, progesterone and the vitellogenin were measured; also gonad tissue samples were prepared and examined using a light microscope. The results showed optimal somatic and gonadal growth of fish caged in the Caspian Sea. Sex hormones and vitellogenin levels increased significantly (P<0.01) during the study period. The levels of 17 beta estradiol, testosterone and progesterone in January were 0.56± 0.05 ngml-1, 0.50± 0.05 ngml-1and 0.14± 0.01 ngml-1 respectively and reach to 1.63± 0.13 ngml-1, 0.80± 0.01 ngml-1 and 0.28± 0.03 ngml-1 in May, respectively. Vitellogenin levels increased from 382.40± 55.26 ngml-1 in January to 651.40± 86.34 ngml-1 in May. The gonads developed to stage 4 and the oocyte diameter increased significantly (P<0.01) during the study period. The findings of present study show that female rainbow trout are able to have appropriate somatic growth in the brackish water of the Caspian Sea like fresh water, and the natural process of sexual maturation wonÕt be disturbed."
011-321-751-873-475,10.61186/injbir.1.1.51,"The aim of the present study was to investigate the sexual maturation process and changes in some immune parameters of female rainbow trout reared in a cage in the Caspian Sea. All-female fish with an average weight of 122±5 g were prepared from a local farm and released into a cage. Fish were fed daily. Blood samples were collected from 5 fish randomly once a month from January 2015 to May 2016. The levels of 17 _-estradiol, testosterone, progesterone, melatonin, vitellogenin, calcium, lysozyme, and immunoglobulin M (IgM) were measured. Water quality parameters were also measured daily. The results showed that the levels of sex hormones gradually increased over time. Also, an increase in the amount of vitellogenin (from 382.40±55.26 ng.ml-1 in January to 686.40±86.34 ng.ml-1 in May) and calcium ion (from 12.84±1.42 mg. dl-1 in January to 19.04±1.55 mg. dl-1 in May) was observed (p<0.01). However, melatonin levels decreased from January (294.20±16.89 ngl-1) to May (175.00±17.54 ng. l-1) (p<0.01). Immune parameters (Lysozyme and IgM) changes were similar and the highest levels were observed in March, which was significantly higher than other months (p<0.01). The findings suggest that female Rainbow trout are under normal sexual maturity process in the Caspian Sea like freshwater resources."
066-858-290-819-411,,, 
071-180-346-044-577,10.18331/sfs2022.8.3.8,,
139-152-067-548-606,,, 
186-337-381-139-46X,,, 
107-670-998-729-420,,, 
116-698-329-742-362,,, 
143-655-242-433-232,,, 
194-406-824-699-383,,, 
056-939-028-347-342,,, 
194-169-842-687-005,,, 
113-056-815-955-087,,, 
114-525-233-494-239,,, 
122-687-061-780-889,,, 
125-075-423-115-619,,, 
154-016-567-908-986,,, 
158-791-767-288-390,,, 
160-948-026-481-673,,, 
088-753-027-682-494,,, 
