topic,publication_year,topic_records,background_records,background_trend_raw,background_growth_index,baseline_2010_2014,first_observed_year,first_observed_count,topic_growth_index
Antimicrobial resistance and One Health,1928,0,1,16.650518638445515,3.9286151563775307,4.4,1955,1,0
Antimicrobial resistance and One Health,1929,0,0,17.304352055372615,4.082884217135492,4.4,1955,1,0
Antimicrobial resistance and One Health,1930,0,0,17.983860236334,4.2432111232562155,4.4,1955,1,0
Antimicrobial resistance and One Health,1931,0,0,18.69005137927603,4.40983375452103,4.4,1955,1,0
Antimicrobial resistance and One Health,1932,0,0,19.423973272113596,4.582999331786684,4.4,1955,1,0
Antimicrobial resistance and One Health,1933,0,0,20.186714847350938,4.762964783791154,4.4,1955,1,0
Antimicrobial resistance and One Health,1934,0,0,20.979407797749552,4.949997128363235,4.4,1955,1,0
Antimicrobial resistance and One Health,1935,0,0,21.803228255440114,5.144373868601471,4.4,1955,1,0
Antimicrobial resistance and One Health,1936,0,0,22.65939853696996,5.3463834046102665,4.4,1955,1,0
Antimicrobial resistance and One Health,1937,0,0,23.54918895687505,5.556325461404061,4.4,1955,1,0
Antimicrobial resistance and One Health,1938,0,0,24.473919712467477,5.774511533614483,4.4,1955,1,0
Antimicrobial resistance and One Health,1939,0,0,25.43496284263486,6.001265347660276,4.4,1955,1,0
Antimicrobial resistance and One Health,1940,0,0,26.433744263557983,6.23692334206574,4.4,1955,1,0
Antimicrobial resistance and One Health,1941,0,0,27.47174588436712,6.481835166640349,4.4,1955,1,0
Antimicrobial resistance and One Health,1942,0,0,28.550507805875988,6.736364201260158,4.4,1955,1,0
Antimicrobial resistance and One Health,1943,0,0,29.671630605655782,7.000888095020774,4.4,1955,1,0
Antimicrobial resistance and One Health,1944,0,0,30.83677771283956,7.275799326561785,4.4,1955,1,0
Antimicrobial resistance and One Health,1945,0,0,32.04767787618063,7.561505786394071,4.4,1955,1,0
Antimicrobial resistance and One Health,1946,0,0,33.30612772902668,7.85843138209393,4.4,1955,1,0
Antimicrobial resistance and One Health,1947,0,0,34.61399445501552,8.167016667262041,4.4,1955,1,0
Antimicrobial resistance and One Health,1948,0,0,35.97321855844748,8.487719495180377,4.4,1955,1,0
Antimicrobial resistance and One Health,1949,0,0,37.38581674344496,8.821015698137009,4.4,1955,1,0
Antimicrobial resistance and One Health,1950,0,0,38.85388490617092,9.167399793426604,4.4,1955,1,0
Antimicrobial resistance and One Health,1951,0,0,40.379601244545924,9.527385717074234,4.4,1955,1,0
Antimicrobial resistance and One Health,1952,0,0,41.965229490077846,9.901507586371068,4.4,1955,1,0
Antimicrobial resistance and One Health,1953,0,1,43.61312226659913,10.290320492353375,4.4,1955,1,0
Antimicrobial resistance and One Health,1954,0,0,45.32572458089509,10.6944013234006,4.4,1955,1,0
Antimicrobial resistance and One Health,1955,1,1,47.10557745040246,11.114349621174552,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,1956,0,0,48.95532167336056,11.550788470169673,4.4,1955,1,0
Antimicrobial resistance and One Health,1957,0,0,50.877701747008906,12.004365422194162,4.4,1955,1,0
Antimicrobial resistance and One Health,1958,0,0,52.875569939645,12.475753457153743,4.4,1955,1,0
Antimicrobial resistance and One Health,1959,0,0,54.95189052258351,12.965651981563456,4.4,1955,1,0
Antimicrobial resistance and One Health,1960,0,0,57.10974416829665,13.474787866269123,4.4,1955,1,0
Antimicrobial resistance and One Health,1961,0,0,59.35233252126079,14.003916524918113,4.4,1955,1,0
Antimicrobial resistance and One Health,1962,0,0,61.68298294829108,14.55382303477946,4.4,1955,1,0
Antimicrobial resistance and One Health,1963,0,0,64.10515347541298,15.125323301576582,4.4,1955,1,0
Antimicrobial resistance and One Health,1964,0,0,66.62243791859467,15.71926527006053,4.4,1955,1,0
Antimicrobial resistance and One Health,1965,0,0,69.2385712159533,16.336530182120143,4.4,1955,1,0
Antimicrobial resistance and One Health,1966,0,0,71.9574349693471,16.97803388429585,4.4,1955,1,0
Antimicrobial resistance and One Health,1967,0,1,74.78306320357426,17.64472818663678,4.4,1955,1,0
Antimicrobial resistance and One Health,1968,0,0,77.71964835172508,18.337602274917764,4.4,1955,1,0
Antimicrobial resistance and One Health,1969,0,1,80.77154747556676,19.057684178311202,4.4,1955,1,0
Antimicrobial resistance and One Health,1970,0,2,83.94328873019046,19.806042294691522,4.4,1955,1,0
Antimicrobial resistance and One Health,1971,0,0,87.23957808251319,20.58378697583558,4.4,1955,1,0
Antimicrobial resistance and One Health,1972,0,3,90.66530629360106,21.392072174870457,4.4,1955,1,0
Antimicrobial resistance and One Health,1973,0,5,94.22555617517597,22.23209715841369,4.4,1955,1,0
Antimicrobial resistance and One Health,1974,0,5,97.92561013107029,23.10510828594564,4.4,1955,1,0
Antimicrobial resistance and One Health,1975,0,14,101.77095799481978,24.012400859054377,4.4,1955,1,0
Antimicrobial resistance and One Health,1976,0,19,105.76730517502442,24.955321043297015,4.4,1955,1,0
Antimicrobial resistance and One Health,1977,0,21,109.92058112056064,25.935267865528562,4.4,1955,1,0
Antimicrobial resistance and One Health,1978,0,19,114.23694811820614,26.953695289662004,4.4,1955,1,0
Antimicrobial resistance and One Health,1979,0,19,118.72281043573119,28.01211437393967,4.4,1955,1,0
Antimicrobial resistance and One Health,1980,0,20,123.38482382401976,29.112095512916095,4.4,1955,1,0
Antimicrobial resistance and One Health,1981,0,14,128.22990539232202,30.255270767479498,4.4,1955,1,0
Antimicrobial resistance and One Health,1982,0,20,133.2652438712878,31.443336286368506,4.4,1955,1,0
Antimicrobial resistance and One Health,1983,0,17,138.49831027900908,32.678054822777014,4.4,1955,1,0
Antimicrobial resistance and One Health,1984,0,25,143.93686900589861,33.96125834978152,4.4,1955,1,0
Antimicrobial resistance and One Health,1985,1,30,149.58898933484832,35.29485077847084,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,1986,0,38,155.46305741376344,36.68081078281181,4.4,1955,1,0
Antimicrobial resistance and One Health,1987,0,46,161.5677886982338,38.12119473544173,4.4,1955,1,0
Antimicrobial resistance and One Health,1988,0,56,167.9122408828045,39.61813975874366,4.4,1955,1,0
Antimicrobial resistance and One Health,1989,0,60,174.50582734003322,41.17386689573167,4.4,1955,1,0
Antimicrobial resistance and One Health,1990,2,82,181.3583310872725,42.79068440545048,4.4,1955,1,45.45454545454545
Antimicrobial resistance and One Health,1991,1,106,188.4799193018998,44.470991187778814,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,1992,1,96,195.88115840653418,46.21728034271864,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,1993,1,113,203.5730297466174,48.03214286944999,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,1994,3,119,211.56694588362595,49.91827151064136,4.4,1955,1,68.18181818181817
Antimicrobial resistance and One Health,1995,1,140,219.87476752808362,51.87846474771789,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,1996,4,129,228.50882113750066,53.915630953016276,4.4,1955,1,90.9090909090909
Antimicrobial resistance and One Health,1997,2,152,237.48191720535155,56.03279270498688,4.4,1955,1,45.45454545454545
Antimicrobial resistance and One Health,1998,1,144,246.80736926822323,58.23309127284519,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,1999,0,112,256.49901365933715,60.51979127732662,4.4,1955,1,0
Antimicrobial resistance and One Health,2000,2,150,266.57123003775587,62.89628553446071,4.4,1955,1,45.45454545454545
Antimicrobial resistance and One Health,2001,0,160,277.03896272372793,65.36610008955,4.4,1955,1,0
Antimicrobial resistance and One Health,2002,2,204,287.91774287183404,67.93289944882441,4.4,1955,1,45.45454545454545
Antimicrobial resistance and One Health,2003,3,213,299.2237115148268,70.60049201653179,4.4,1955,1,68.18181818181817
Antimicrobial resistance and One Health,2004,4,263,310.97364351235706,73.37283574553243,4.4,1955,1,90.9090909090909
Antimicrobial resistance and One Health,2005,0,241,323.18497244012303,76.25404400978212,4.4,1955,1,0
Antimicrobial resistance and One Health,2006,1,274,335.8758164563633,79.24839170741511,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,2007,5,255,349.0650051840811,82.36032160348431,4.4,1955,1,113.63636363636363
Antimicrobial resistance and One Health,2008,2,283,362.7721076488781,85.59445092176773,4.4,1955,1,45.45454545454545
Antimicrobial resistance and One Health,2009,4,333,377.0174613138527,88.95557819542258,4.4,1955,1,90.9090909090909
Antimicrobial resistance and One Health,2010,1,341,391.82220225464465,92.44869038665148,4.4,1955,1,22.727272727272727
Antimicrobial resistance and One Health,2011,5,402,407.20829651939215,96.07897028594378,4.4,1955,1,113.63636363636363
Antimicrobial resistance and One Health,2012,4,392,423.1985727201334,99.85180420187038,4.4,1955,1,90.9090909090909
Antimicrobial resistance and One Health,2013,5,432,439.8167559040124,103.77278995284276,4.4,1955,1,113.63636363636363
Antimicrobial resistance and One Health,2014,7,460,457.0875027545355,107.84774517269163,4.4,1955,1,159.09090909090907
Antimicrobial resistance and One Health,2015,5,464,475.0364381751183,112.08271594239052,4.4,1955,1,113.63636363636363
Antimicrobial resistance and One Health,2016,3,598,493.69019330919355,116.48398576072964,4.4,1955,1,68.18181818181817
Antimicrobial resistance and One Health,2017,7,509,513.0764450532943,121.05808486725061,4.4,1955,1,159.09090909090907
Antimicrobial resistance and One Health,2018,14,516,533.2239571217427,125.8117999312755,4.4,1955,1,318.18181818181813
Antimicrobial resistance and One Health,2019,20,582,554.1626227238637,130.75218412140384,4.4,1955,1,454.5454545454545
Antimicrobial resistance and One Health,2020,11,673,575.923508917055,135.88656757042048,4.4,1955,1,249.99999999999997
Antimicrobial resistance and One Health,2021,17,679,598.538902701512,141.22256825113917,4.4,1955,1,386.3636363636363
Antimicrobial resistance and One Health,2022,16,644,622.0423589250028,146.76810327931904,4.4,1955,1,363.6363636363636
Antimicrobial resistance and One Health,2023,11,655,646.4687500687738,152.53140066042593,4.4,1955,1,249.99999999999997
Antimicrobial resistance and One Health,2024,17,744,671.8543179884482,158.52101149766497,4.4,1955,1,386.3636363636363
Antimicrobial resistance and One Health,2025,31,720,698.2367276866855,164.7458226793984,4.4,1955,1,704.5454545454545
Antimicrobial resistance and One Health,2026,19,487,725.6551231973979,171.21507006477566,4.4,1955,1,431.81818181818176
Automation and precision aquaculture,1928,0,1,16.650518638445515,3.9286151563775307,1.2,1981,1,0
Automation and precision aquaculture,1929,0,0,17.304352055372615,4.082884217135492,1.2,1981,1,0
Automation and precision aquaculture,1930,0,0,17.983860236334,4.2432111232562155,1.2,1981,1,0
Automation and precision aquaculture,1931,0,0,18.69005137927603,4.40983375452103,1.2,1981,1,0
Automation and precision aquaculture,1932,0,0,19.423973272113596,4.582999331786684,1.2,1981,1,0
Automation and precision aquaculture,1933,0,0,20.186714847350938,4.762964783791154,1.2,1981,1,0
Automation and precision aquaculture,1934,0,0,20.979407797749552,4.949997128363235,1.2,1981,1,0
Automation and precision aquaculture,1935,0,0,21.803228255440114,5.144373868601471,1.2,1981,1,0
