level2,level3,full_label,assignments
Communities and livelihoods,Conflict and social licence,Communities and livelihoods > Conflict and social licence,208
Communities and livelihoods,Livelihoods and income,Communities and livelihoods > Livelihoods and income,125
Communities and livelihoods,Local and rural development,Communities and livelihoods > Local and rural development,118
Communities and livelihoods,"Displacement, disruption and wellbeing","Communities and livelihoods > Displacement, disruption and wellbeing",18
Culture and knowledge,Public discourse and representation,Culture and knowledge > Public discourse and representation,251
Culture and knowledge,"Culture, identity and traditions","Culture and knowledge > Culture, identity and traditions",36
Culture and knowledge,Local and Indigenous knowledge,Culture and knowledge > Local and Indigenous knowledge,20
Public health,Antimicrobial resistance and One Health,Public health > Antimicrobial resistance and One Health,235
Public health,Health impacts of aquaculture,Public health > Health impacts of aquaculture,50
"Equity, justice and rights",Distribution of benefits and harms,"Equity, justice and rights > Distribution of benefits and harms",65
"Equity, justice and rights",Indigenous peoples and rights,"Equity, justice and rights > Indigenous peoples and rights",61
"Equity, justice and rights",Environmental justice and human rights,"Equity, justice and rights > Environmental justice and human rights",21
Labour and employment,Employment and job creation,Labour and employment > Employment and job creation,62
Labour and employment,Working conditions and occupational health,Labour and employment > Working conditions and occupational health,47
Labour and employment,"Labour rights, exploitation and migration","Labour and employment > Labour rights, exploitation and migration",11
Food security and access,Food availability and nutritional security,Food security and access > Food availability and nutritional security,69
Food security and access,Competition with other food uses,Food security and access > Competition with other food uses,16
Food security and access,Affordability and access,Food security and access > Affordability and access,8
General social issues,Multiple or general social impacts,General social issues > Multiple or general social impacts,35
