level1,species,species_records
Environment,Atlantic salmon,1532
Environment,Chinook salmon,77
Environment,Chum salmon,40
Environment,Coho salmon,77
Environment,Masu salmon,10
Environment,Pink salmon,64
Environment,Sockeye salmon,30
Environment,Rainbow trout,857
Environment,Unspecified species,1515
Industry and governance,Atlantic salmon,453
Industry and governance,Chinook salmon,23
Industry and governance,Chum salmon,14
Industry and governance,Coho salmon,40
Industry and governance,Masu salmon,2
Industry and governance,Pink salmon,12
Industry and governance,Sockeye salmon,15
Industry and governance,Rainbow trout,275
Industry and governance,Unspecified species,1169
Inputs and resources,Atlantic salmon,192
Inputs and resources,Chinook salmon,6
Inputs and resources,Chum salmon,3
Inputs and resources,Coho salmon,7
Inputs and resources,Masu salmon,1
Inputs and resources,Pink salmon,5
Inputs and resources,Sockeye salmon,2
Inputs and resources,Rainbow trout,221
Inputs and resources,Unspecified species,278
Methods,Atlantic salmon,960
Methods,Chinook salmon,77
Methods,Chum salmon,15
Methods,Coho salmon,55
Methods,Masu salmon,5
Methods,Pink salmon,16
Methods,Sockeye salmon,14
Methods,Rainbow trout,535
Methods,Unspecified species,569
People and society,Atlantic salmon,169
People and society,Chinook salmon,7
People and society,Chum salmon,1
People and society,Coho salmon,15
People and society,Pink salmon,5
People and society,Sockeye salmon,4
People and society,Rainbow trout,169
People and society,Unspecified species,589
Product,Atlantic salmon,764
Product,Chinook salmon,44
Product,Chum salmon,12
Product,Coho salmon,59
Product,Masu salmon,7
Product,Pink salmon,18
Product,Sockeye salmon,8
Product,Rainbow trout,684
Product,Unspecified species,379
Production,Atlantic salmon,4565
Production,Chinook salmon,316
Production,Chum salmon,61
Production,Coho salmon,327
Production,Masu salmon,52
Production,Pink salmon,64
Production,Sockeye salmon,34
Production,Rainbow trout,3600
Production,Unspecified species,1563
